,video_id,artist,song
118,8ORvJcpe2Oc,Davido,FIA
122,ujyTQNNjjDU,G-Eazy,The Plan
223,AT_XoYrpcDU,Fly Reef,No Top
499,AT_XoYrpcDU,Fly Reef,No Top
781,jG1JY0rt2Os,Fall Out Boy,HOLD ME TIGHT OR DON’T
794,SDvfbvuJtS8,A Perfect Circle,The Doomed [Official Video]
817,TyHvyGVs42U,"Luis Fonsi, Demi Lovato",Échame La Culpa
903,MmvpbLdaIRs,Mersal,"Maacho Tamil Video | Vijay, Kajal Aggarwal | A.R. Rahman"
1004,TyHvyGVs42U,"Luis Fonsi, Demi Lovato",Échame La Culpa
1044,cmc8q2dcIMs,Jaden Smith,Icon
1053,cH4E_t3m3xM,"Selena Gomez, Marshmello",Wolves
1126,MmvpbLdaIRs,Mersal,"Maacho Tamil Video | Vijay, Kajal Aggarwal | A.R. Rahman"
1207,TyHvyGVs42U,"Luis Fonsi, Demi Lovato",Échame La Culpa
1226,GxkLy_mvGXE,Walk On Water/Stan/Love The Way You Lie (Medley/Live From Saturday Night Live/2017,lk On Water/Stan/Love The Way You Lie (Medley/Live From Saturday Night Live/2017)
1251,cH4E_t3m3xM,"Selena Gomez, Marshmello",Wolves
1253,cmc8q2dcIMs,Jaden Smith,Icon
1418,GxkLy_mvGXE,Walk On Water/Stan/Love The Way You Lie (Medley/Live From Saturday Night Live/2017,lk On Water/Stan/Love The Way You Lie (Medley/Live From Saturday Night Live/2017)
1424,TyHvyGVs42U,"Luis Fonsi, Demi Lovato",Échame La Culpa
1497,cH4E_t3m3xM,"Selena Gomez, Marshmello",Wolves
1507,cmc8q2dcIMs,Jaden Smith,Icon
1600,EBt_88nxG4c,P!nk,Beautiful Trauma
1639,GxkLy_mvGXE,Walk On Water/Stan/Love The Way You Lie (Medley/Live From Saturday Night Live/2017,lk On Water/Stan/Love The Way You Lie (Medley/Live From Saturday Night Live/2017)
1669,KFaMZUarksA,Demi Lovato,Sorry Not Sorry (Live From The 2017 American Music Awards)
1680,pOzMKakMpTU,Thunder/Young Dumb & Broke (Medley/Live On The American Music Awards,2017)
1712,TyHvyGVs42U,"Luis Fonsi, Demi Lovato",Échame La Culpa
1783,cH4E_t3m3xM,"Selena Gomez, Marshmello",Wolves
1800,EBt_88nxG4c,P!nk,Beautiful Trauma
1839,V3EYjVPRClU,Sia,Santa's Coming For Us
1851,KFaMZUarksA,Demi Lovato,Sorry Not Sorry (Live From The 2017 American Music Awards)
1873,pOzMKakMpTU,Thunder/Young Dumb & Broke (Medley/Live On The American Music Awards,2017)
1891,GxkLy_mvGXE,Walk On Water/Stan/Love The Way You Lie (Medley/Live From Saturday Night Live/2017,lk On Water/Stan/Love The Way You Lie (Medley/Live From Saturday Night Live/2017)
1944,RP3UsFrDJfY,Lady Gaga,The Cure (Live On The American Music Awards - 2017)
2003,EBt_88nxG4c,P!nk,Beautiful Trauma
2036,V3EYjVPRClU,Sia,Santa's Coming For Us
2089,KFaMZUarksA,Demi Lovato,Sorry Not Sorry (Live From The 2017 American Music Awards)
2137,pOzMKakMpTU,Thunder/Young Dumb & Broke (Medley/Live On The American Music Awards,2017)
2143,RP3UsFrDJfY,Lady Gaga,The Cure (Live On The American Music Awards - 2017)
2183,GxkLy_mvGXE,Walk On Water/Stan/Love The Way You Lie (Medley/Live From Saturday Night Live/2017,lk On Water/Stan/Love The Way You Lie (Medley/Live From Saturday Night Live/2017)
2212,EBt_88nxG4c,P!nk,Beautiful Trauma
2245,RSRzIrOqaN4,"Romeo Santos, Daddy Yankee, Nicky Jam",Bella y Sensual
2253,V3EYjVPRClU,Sia,Santa's Coming For Us
2306,gJPt8ruo2BQ,Davido,Like Dat
2359,KFaMZUarksA,Demi Lovato,Sorry Not Sorry (Live From The 2017 American Music Awards)
2370,2BE4X3bYpxY,Maluma,X (The Film)
2426,EBt_88nxG4c,P!nk,Beautiful Trauma
2442,RSRzIrOqaN4,"Romeo Santos, Daddy Yankee, Nicky Jam",Bella y Sensual
2489,V3EYjVPRClU,Sia,Santa's Coming For Us
2495,gJPt8ruo2BQ,Davido,Like Dat
2687,RSRzIrOqaN4,"Romeo Santos, Daddy Yankee, Nicky Jam",Bella y Sensual
2720,EBt_88nxG4c,P!nk,Beautiful Trauma
2771,V3EYjVPRClU,Sia,Santa's Coming For Us
2797,gJPt8ruo2BQ,Davido,Like Dat
2798,Q_r-zRrDo28,OYABUN,Castle on the Hill
2997,RSRzIrOqaN4,"Romeo Santos, Daddy Yankee, Nicky Jam",Bella y Sensual
2998,Q_r-zRrDo28,OYABUN,Castle on the Hill
3201,Q_r-zRrDo28,OYABUN,Castle on the Hill
3240,7AXo-bYGXI4,Sam Smith,One Last Song
3247,SD7Pbd7gXFw,Shania Twain,Performance Medley (Live From The Grey Cup/2017)
3422,Q_r-zRrDo28,OYABUN,Castle on the Hill
3445,7AXo-bYGXI4,Sam Smith,One Last Song
3471,SD7Pbd7gXFw,Shania Twain,Performance Medley (Live From The Grey Cup/2017)
3599,SM1w9PEQOE8,Demi Lovato,Tell Me You Love Me
3610,SA7AIQw-7Ms,G-Eazy & Halsey,Him & I
3693,Q_r-zRrDo28,OYABUN,Castle on the Hill
3712,7AXo-bYGXI4,Sam Smith,One Last Song
3801,SM1w9PEQOE8,Demi Lovato,Tell Me You Love Me
3803,SA7AIQw-7Ms,G-Eazy & Halsey,Him & I
4002,SM1w9PEQOE8,Demi Lovato,Tell Me You Love Me
4004,SA7AIQw-7Ms,G-Eazy & Halsey,Him & I
4206,SM1w9PEQOE8,Demi Lovato,Tell Me You Love Me
4209,SA7AIQw-7Ms,G-Eazy & Halsey,Him & I
4439,SA7AIQw-7Ms,G-Eazy & Halsey,Him & I
4449,SM1w9PEQOE8,Demi Lovato,Tell Me You Love Me
4705,SA7AIQw-7Ms,G-Eazy & Halsey,Him & I
4719,SM1w9PEQOE8,Demi Lovato,Tell Me You Love Me
4799,9v_rtaye2yY,"Migos, Nicki Minaj, Cardi B",MotorSport
4902,bg7RjxsghNY,Camila Cabello,Real Friends (Audio)
4998,9v_rtaye2yY,"Migos, Nicki Minaj, Cardi B",MotorSport
5068,56KYMMGudcU,Eminem,Untouchable (Audio)
5161,bg7RjxsghNY,Camila Cabello,Real Friends (Audio)
5182,eYJCjVkOImU,Sam Smith,Palace (On The Record: The Thrill Of It All Live)
5196,9v_rtaye2yY,"Migos, Nicki Minaj, Cardi B",MotorSport
5249,56KYMMGudcU,Eminem,Untouchable (Audio)
5400,9v_rtaye2yY,"Migos, Nicki Minaj, Cardi B",MotorSport
5506,56KYMMGudcU,Eminem,Untouchable (Audio)
5609,9v_rtaye2yY,"Migos, Nicki Minaj, Cardi B",MotorSport
5693,U72R_TOGan0,The Glorious Sons,Everything Is Alright
5836,9v_rtaye2yY,"Migos, Nicki Minaj, Cardi B",MotorSport
5884,tmozGmGoJuw,MGMT,When You Die
5984,U72R_TOGan0,The Glorious Sons,Everything Is Alright
6064,tmozGmGoJuw,MGMT,When You Die
6096,9v_rtaye2yY,"Migos, Nicki Minaj, Cardi B",MotorSport (Official)
6249,Oapebl0bADA,Khalid,Saved
6316,tmozGmGoJuw,MGMT,When You Die
6375,ChF_ypmiIs8,Keith Urban,Female (Lyric Video)
